roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
41,0.246359263,0.387061342,-0.140702079,0.798285315,0,0.746927803,0.744591654,0.00233615,1,0,0.091743119,0.082568807,0.009174312,0.989002522,0
42,0.383223615,0.258608436,0.12461518,0.798285315,0,0.885788311,0.824308756,0.061479555,0.136664039,0,0.28440367,0.348623853,-0.064220183,0.651982432,0
43,0.238752899,0.35439761,-0.11564471,0.788044364,0,0.8760454,0.832696228,0.043349172,0.439954896,0,0.357798165,0.366972477,-0.009174312,0.989002522,0
44,0.306214792,0.300389615,0.005825177,1,0,0.908278118,0.891491722,0.016786395,0.844521711,0,0.403669725,0.47706422,-0.073394495,0.540374211,0
45,0.266351971,0.299789786,-0.033437816,0.989002522,0,0.926405957,0.886945719,0.039460238,0.365017476,0,0.513761468,0.504587156,0.009174312,0.989002522,0
46,0.406370045,0.293855166,0.112514879,0.685238753,0,0.932679239,0.880033129,0.052646109,0.11246413,0,0.449541284,0.431192661,0.018348624,0.988872402,0
47,0.328896834,0.278634532,0.050262302,0.960550472,0,0.882613405,0.834570746,0.048042659,0.306949823,0,0.23853211,0.366972477,-0.128440367,0.289023664,0
48,0.468554257,0.403556839,0.064997418,0.887942857,0,0.942777353,0.877634835,0.065142518,0,1,0.504587156,0.458715596,0.04587156,0.840179208,0
49,0.320005119,0.287815424,0.032189695,0.989002522,0,0.901935057,0.843051289,0.058883769,0.116740107,0,0.366972477,0.302752294,0.064220183,0.695664474,0
50,0.398116523,0.383472556,0.014643967,0.99147278,0,0.952556915,0.892355777,0.060201137,0.041206711,1,0.642201835,0.486238532,0.155963303,0.126333333,0
51,0.311212785,0.34563525,-0.034422465,0.989002522,0,0.745722393,0.734730717,0.010991676,0.960550472,0,0.055045872,0.100917431,-0.04587156,0.713033898,0
52,0.329751226,0.362620593,-0.032869367,0.989002522,0,0.808507475,0.771324031,0.037183444,0.564138107,0,0.229357798,0.201834862,0.027522936,0.93234,0
53,0.242514572,0.353494902,-0.11098033,0.857592114,0,0.720632787,0.740751359,-0.020118572,0.866168012,0,0.064220183,0.082568807,-0.018348624,0.960550472,0
54,0.296065504,0.351051418,-0.054985914,0.94456275,0,0.765853296,0.744612989,0.021240307,0.82662973,0,0.073394495,0.073394495,0,1,0
55,0.248702241,0.386740727,-0.138038486,0.798285315,0,0.753733572,0.754917648,-0.001184076,1,0,0.110091743,0.100917431,0.009174312,0.989002522,0
